Trimestre,Banamex,BBVABancomer,HSBC,BancodelBajio,BancaMifel,Scotiabank,Banregio,Invex,Afirme,Banorte-Ixe,AmericanExpress,BancoAzteca,BancoAhorroFamsa,Actinver,BanCoppel,Consubanco,Globalcard,TarjetasBanamex,SantanderConsumo,CFCreditServices,Total
1/10/2020,55344,5387316,1535702,53445,6493,678064,170794,219809,48968,1580957,471869,250675,0,42,4763255,1621,0,4776935,3027545,1728376,24757210
1/8/2020,55889,5231631,1541993,51689,6571,707086,168463,217116,47855,1588069,488185,152900,0,44,4759962,2895,0,4851043,3159989,1767195,24798575
1/6/2020,56382,5256115,1555371,50779,6716,722928,159830,218262,50473,1610447,506010,98983,0,43,4742266,3945,0,4969015,3709674,1821291,25538530
1/4/2020,56446,5271621,1573649,51279,6795,732455,154429,219117,50405,1635029,521195,71186,136679,46,4771530,4748,0,5116081,3711922,1814638,25899250
1/2/2020,56860,5270491,1577159,48609,6860,747030,134422,215347,50064,1646884,530132,54353,141426,44,4791957,5511,0,5180714,3704277,1832481,25994621
1/12/2019,97844,5405158,1570791,47836,6798,746827,119609,210391,49681,1653292,530029,34038,138475,40,4697585,6608,0,5223866,3707857,1846147,26092872
1/10/2019,98135,5287948,1563559,46706,5736,766177,116389,202937,49681,1649686,529658,11984,133234,40,4665093,8111,0,5257229,3675658,1823591,25891552
1/8/2019,98439,5211016,1538423,44603,7868,754086,112027,350080,49208,1635407,526139,10822,141328,41,4631355,10073,681921,5289910,3630985,1820266,26543997
1/6/2019,98714,5101267,1499100,43270,7610,744495,107935,339847,48430,1628173,523430,9797,139381,40,4565298,12477,676886,5317064,3585288,1822408,26270910
1/4/2019,98859,5033111,1459018,42619,7153,773786,103921,333696,47162,1616069,519146,9427,136341,40,4499092,17464,709629,5381290,3538894,1823262,26149979
1/2/2019,99156,5002468,1422235,43016,6849,764850,99874,325464,46741,1599908,512924,9203,136432,40,4470574,23098,702909,5442857,3486632,1820627,26015857
1/12/2018,99150,4997580,1414288,41677,6555,760114,96945,319870,45843,1601226,505590,9472,139645,38,4364356,38758,699633,5548325,3457926,1822858,25969849
1/10/2018,99403,5006470,1379213,43311,6241,739701,93900,310962,45046,1598983,497172,9927,135601,35,4401227,40323,687572,5595803,3428072,1785589,25904551
1/8/2018,99659,5078466,1322398,42041,5811,726128,90932,302120,44286,1588417,486362,13003,129623,36,4349711,39452,675844,5644852,3389410,1783169,25811720
