Trimestre,TarjetasBanamex,BBVABancomer,HSBC,BancoDelBajio,BancaMifel,Scotiabank,Banregio,Invex,Afirme,BanorteIxe,AmericanExpress,BancoAzteca,BancoAhorroFamsa,BanCoppel,Consubanco,Globalcard,SantanderConsumo,CFCreditServices,Total,Promedio,Minimo,Maximo
2020/10/01,4776935,5387316,1535702,53445,6493,678064,170794,219809,48968,1580957,471869,250675,0,4763255,1621,0,3027545,1728376,24701824,1372324,0,5387316
2020/08/01,4851043,5231631,1541993,51689,6571,707086,168463,217116,47855,1588069,488185,152900,0,4759962,2895,0,3159989,1767195,24742642,1374591,0,5231631
2020/06/01,4969015,5256115,1555371,50779,6716,722928,159830,218262,50473,1610447,506010,98983,0,4742266,3945,0,3709674,1821291,25482105,1415673,0,5256115
2020/04/01,5116081,5271621,1573649,51279,6795,732455,154429,219117,50405,1635029,521195,71186,136679,4771530,4748,0,3711922,1814638,25842758,1435709,0,5271621
2020/02/01,5180714,5270491,1577159,48609,6860,747030,134422,215347,50064,1646884,530132,54353,141426,4791957,5511,0,3704277,1832481,25937717,1440984,0,5270491
2019/12/01,5223866,5405158,1570791,47836,6798,746827,119609,210391,49681,1653292,530029,34038,138475,4697585,6608,0,3707857,1846147,25994988,1444166,0,5405158
2019/10/01,5257229,5287948,1563559,46706,5736,766177,116389,202937,49681,1649686,529658,11984,133234,4665093,8111,0,3675658,1823591,25793377,1432965,0,5287948
2019/08/01,5289910,5211016,1538423,44603,7868,754086,112027,350080,49208,1635407,526139,10822,141328,4631355,10073,681921,3630985,1820266,26445517,1469195,7868,5289910
2019/06/01,5317064,5101267,1499100,43270,7610,744495,107935,339847,48430,1628173,523430,9797,139381,4565298,12477,676886,3585288,1822408,26172156,1454009,7610,5317064
2019/04/01,5381290,5033111,1459018,42619,7153,773786,103921,333696,47162,1616069,519146,9427,136341,4499092,17464,709629,3538894,1823262,26051080,1447282,7153,5381290
2019/02/01,5442857,5002468,1422235,43016,6849,764850,99874,325464,46741,1599908,512924,9203,136432,4470574,23098,702909,3486632,1820627,25916661,1439815,6849,5442857
2018/12/01,5548325,4997580,1414288,41677,6555,760114,96945,319870,45843,1601226,505590,9472,139645,4364356,38758,699633,3457926,1822858,25870661,1437259,6555,5548325
2018/10/01,5595803,5006470,1379213,43311,6241,739701,93900,310962,45046,1598983,497172,9927,135601,4401227,40323,687572,3428072,1785589,25805113,1433617,6241,5595803
2018/08/01,5644852,5078466,1322398,42041,5811,726128,90932,302120,44286,1588417,486362,13003,129623,4349711,39452,675844,3389410,1783169,25712025,1428446,5811,5644852
2018/06/01,5636346,5090371,1316163,41934,5439,716579,87932,295632,43707,1577793,477568,14796,119250,4256475,59689,667837,3377898,1786079,25571488,1420638,5439,5636346
2018/04/01,5592084,5094372,1044737,41953,5072,700280,85505,291172,42094,1562278,469595,16043,102676,4167593,58491,652228,3421444,1782322,25129939,1396108,5072,5592084
2018/02/01,5537421,5152576,1080545,41634,4819,688996,82403,290607,41314,1553223,466098,17260,93996,4070829,57593,640899,3375201,1804142,24999556,1388864,4819,5537421
2017/12/01,5504278,5299535,1322115,41812,4622,674843,79888,294129,40150,1552595,462215,17403,82481,3938338,62559,626340,3368838,1819492,25191633,1399535,4622,5504278
2017/10/01,5486292,5364690,1097065,41667,4423,661495,77797,301718,39710,1542990,458185,16880,65437,3920712,62192,613261,3581352,1822264,25158130,1397674,4423,5486292
2017/08/01,5491708,5427008,1384474,41631,3911,649639,74456,311111,38300,1519912,455017,16137,56289,3838994,60528,601647,3517521,1931590,25419873,1412215,3911,5491708
2017/06/01,5492455,5506840,1252879,41476,3613,631642,71241,300411,36969,1496367,451083,14035,48870,3735541,58767,6277,3457507,2012681,24618654,1367703,3613,5506840
2017/04/01,5495826,5597072,1294393,41409,3391,617743,62443,209210,34819,1463621,457774,13112,41594,3626998,50750,6808,3358324,0,22375287,1243072,0,5597072
2017/02/01,5503742,5638817,1347813,42806,3132,609181,61121,201789,33483,1442363,463568,8634,34287,3549595,48637,7027,3267356,0,22263351,1236853,0,5638817
2016/12/01,5508329,5741044,1349722,42547,3156,593282,63994,195888,31854,1432216,468728,4903,29382,3428790,47172,7146,3189209,0,22137362,1229853,0,5741044
2016/10/01,5489950,5847439,1371547,42810,3099,574399,61947,190414,30571,1416141,469196,4033,25207,3451595,43600,7215,3082175,0,22111338,1228408,0,5847439
2016/08/01,5284674,5846807,1452501,42604,2987,568575,60068,182397,28992,1395390,441018,3792,21344,3406683,43161,7267,3035147,0,21823407,1212412,0,5846807
2016/06/01,5232074,5890647,1408435,41743,2739,574910,56968,174698,27323,1378873,438465,3194,19631,3359339,39994,7341,2975934,0,21632308,1201795,0,5890647
2016/04/01,5102035,5918048,1371996,41700,2574,565522,54864,167881,30092,4101,435464,2503,17715,3293049,37802,7501,2930655,0,19983502,1110195,0,5918048
