POSICION,TRIMESTRE,TRIMESTRE_NUM,TRIMESTRE_LEYENDA,ENTIDAD,MTO_SOLS_CPA,NRO_SOLS_CPA,MTO_PROM_X_SOLC,MTO_CPAS_AUT,NRO_CPAS_AUT,PROM_CPAS_AUT,PORC_CPAS_AUT,MTO_CONT_CARG,NRO_CONT_CARG,PORC_CONT_CARG_VS_CPAS_AUT
1,01/03/2015,42064,1Q 2015,BBVA Bancomer,4470874395,2279859,1961,3564264876,1776435,2006,0.779,1459569,294,0.0002
2,01/03/2015,42064,1Q 2015,Banamex,5511510212,2832975,1945,4095467697,2282770,1794,0.806,5802052,1295,0.0006
3,01/03/2015,42064,1Q 2015,Bancoppel,247772760,263199,941,83987420,114934,731,0.437,0,0,0
4,01/03/2015,42064,1Q 2015,Santander,1944766558,974783,1995,1352575682,738732,1831,0.758,19170655,8011,0.0108
5,01/03/2015,42064,1Q 2015,Banorte0Ixe,1882442742,922147,2041,1337294119,709197,1886,0.769,9813021,5631,0.0079
6,01/03/2015,42064,1Q 2015,HSBC,1119750367,558507,2005,853036273,439748,1940,0.787,6275701,2927,0.0067
7,01/03/2015,42064,1Q 2015,Scotiabank,411412206,204572,2011,333561228,166905,1999,0.816,2625637,963,0.0058
8,01/03/2015,42064,1Q 2015,Invex,210779936,68680,3069,44388818,22128,2006,0.322,164543,68,0.0031
9,01/03/2015,42064,1Q 2015,Banregio,123429347,37906,3256,57129451,22803,2505,0.602,69921,22,0.001
10,01/03/2015,42064,1Q 2015,Azteca,3492204,1321,2644,1384627,552,2508,0.418,0,0,0
1,01/06/2015,42156,2Q 2015,BBVA Bancomer,3949580610,2026009,1949,3087899011,1642707,1880,0.8108,1459569,294,0.0002
2,01/06/2015,42156,2Q 2015,Banamex,5018933779,2686403,1868,3887543088,2219220,1752,0.8261,5802052,1295,0.0006
3,01/06/2015,42156,2Q 2015,Bancoppel,148975731,216428,688,67593499,107443,629,0.4964,0,0,0
4,01/06/2015,42156,2Q 2015,Santander,1880111795,986055,1907,861173867,552706,1558,0.5605,5554045,1859,0.0034
5,01/06/2015,42156,2Q 2015,Banorte0Ixe,6777480560,894334,7578,1042345527,550399,1894,0.6154,1466066,814,0.0015
6,01/06/2015,42156,2Q 2015,HSBC,1116450593,558743,1998,604683444,336153,1799,0.6016,1281961,428,0.0013
7,01/06/2015,42156,2Q 2015,Scotiabank,427753394,205461,2082,234230827,122401,1914,0.5957,730291,210,0.0017
8,01/06/2015,42156,2Q 2015,Invex,200197629,66190,3025,42654642,20910,2040,0.3159,261108,77,0.0037
